pointer,MG693176,MN832787,MT734809,MZ218053,MZ218054
110,43.29896907,32,38,30.92783505,30.92783505
111,44.32989691,32,38,31.95876289,31.95876289
112,45.36082474,32,38,31.95876289,31.95876289
113,45.36082474,32,38,31.95876289,31.95876289
114,46.39175258,33,39,32.98969072,32.98969072
115,47.42268041,34,39,34.02061856,34.02061856
116,47.95918367,34,39,34.69387755,34.69387755
117,47.47474747,34,40,35.35353535,35.35353535
118,47,35,41,35,35
119,47,35,41,36,36
120,47,35,41,36,36
121,47,36,42,36,36
122,47,36,41,37,37
123,48,36,41,37,37
124,49,36,41,38,38
125,49,36,41,37,37
126,49,36,41,37,37
127,49,37,42,37,37
128,49,37,42,37,37
129,49,37,42,38,38
130,49,37,41,38,38
131,48,37,41,38,38
132,48,36,40,38,38
133,47,36,40,39,39
134,46,36,39,38,38
135,46,35,39,37,37
136,45,36,40,37,37
137,45,36,41,37,37
138,45,36,41,37,37
139,46,37,41,38,38
140,46,37,41,38,38
141,45,37,41,38,38
142,44,37,40,37,37
143,44,36,39,37,37
144,44,35,39,37,37
145,45,34,38,37,37
146,44,34,38,37,37
147,43,34,38,37,37
148,42,34,38,37,37
149,42,34,38,37,37
150,42,34,38,37,37
151,41,33,37,36,36
152,41,32,36,35,35
153,42,33,36,35,35
154,42,32,36,35,35
155,41,31,36,35,35
156,41,32,36,35,35
157,41,31,35,34,34
158,42,30,34,33,33
159,42,30,34,34,34
160,42,30,33,34,34
161,41,31,33,34,34
162,42,31,34,34,34
163,42,30,33,34,34
164,41,29,32,33,33
165,41,30,31,33,33
166,42,30,31,34,34
167,41,29,31,33,33
168,42,29,31,32,32
169,41,30,32,32,32
170,41,30,32,31,31
171,42,31,32,31,31
172,41,31,32,31,31
173,40,31,32,30,30
174,41,31,32,30,30
175,40,30,31,29,29
176,39,30,32,29,29
177,38,30,32,28,28
178,38,30,31,27,27
179,39,29,30,27,27
180,38,30,31,27,27
181,38,31,32,28,28
182,37,31,32,28,28
183,38,32,33,28,28
184,38,33,34,28,28
185,38,32,34,28,28
186,38,31,34,28,28
187,37,30,33,27,27
188,36,29,32,26,26
189,35,29,31,26,26
190,34,29,31,26,26
191,34,29,30,26,26
192,34,29,30,26,26
193,33,29,29,26,26
194,33,29,29,26,26
195,32,29,29,26,26
196,33,28,29,25,25
197,32,27,28,24,24
198,31,27,28,24,24
199,31,26,27,23,23
200,30,26,27,22,22
201,30,26,27,22,22
202,31,26,27,22,22
203,31,26,27,22,22
204,31,26,26,23,23
205,30,25,25,23,23
206,29,26,24,23,23
207,29,25,24,23,23
208,29,24,24,22,22
209,29,24,24,22,22
210,30,25,25,22,22
211,30,26,25,22,22
212,30,26,26,23,23
213,31,26,27,23,23
214,31,25,26,23,23
215,30,24,25,23,23
216,30,25,26,23,23
217,30,26,26,22,22
218,30,25,25,22,22
219,30,24,24,21,21
220,31,25,25,21,21
221,31,24,25,21,21
222,32,25,26,21,21
223,31,26,25,20,20
224,30,26,26,19,19
225,30,27,27,19,19
226,31,28,26,18,18
227,30,27,25,18,18
228,31,27,25,18,18
229,32,27,24,17,17
230,32,27,24,17,17
231,32,27,24,17,17
232,32,27,24,17,17
233,32,27,24,16,17
234,33,27,24,17,18
235,34,27,24,18,19
236,35,26,23,18,19
237,35,26,22,18,19
238,35,27,23,18,19
239,34,27,23,17,18
240,35,27,23,18,19
241,36,28,23,19,20
242,36,28,24,19,20
243,37,28,25,19,20
244,38,29,25,19,20
245,37,30,26,19,20
246,38,31,27,20,21
247,38,32,27,20,21
248,38,32,27,21,22
249,38,32,27,21,22
250,39,32,28,22,23
251,39,32,29,22,23
252,39,32,30,22,23
253,38,31,31,22,23
254,38,31,31,22,23
255,38,32,32,22,23
256,38,32,32,23,24
257,38,32,33,23,24
258,37,33,34,23,24
259,38,32,34,22,23
260,38,32,34,22,23
261,38.38383838,31.31313131,34.34343434,22,23
262,37.75510204,31.63265306,33.67346939,22,23
263,37.11340206,31.95876289,34.02061856,21,22
264,37.5,32.29166667,34.375,21,22
265,36.84210526,31.57894737,34.73684211,21,22
266,36.17021277,31.91489362,35.10638298,20,21
267,36.55913978,32.25806452,34.40860215,20,21
268,35.86956522,32.60869565,34.7826087,20,21
269,36.26373626,31.86813187,34.06593407,19,20
270,36.26373626,31.86813187,34.06593407,20,21
271,35.16483516,30.76923077,34.06593407,20,21
272,35.16483516,30.76923077,34.06593407,20,21
273,35.16483516,30.76923077,34.06593407,20,21
274,34.06593407,30.76923077,34.06593407,20,21
275,34.06593407,31.86813187,35.16483516,20,21
276,35.16483516,32.96703297,34.06593407,20,21
277,36.26373626,34.06593407,35.16483516,20,21
278,37.36263736,34.06593407,36.26373626,21,22
279,37.36263736,34.06593407,36.26373626,21,22
280,38.46153846,32.96703297,36.26373626,21,22
281,37.36263736,31.86813187,35.16483516,20,21
282,37.36263736,31.86813187,35.16483516,20,21
283,36.26373626,30.76923077,34.06593407,20,21
284,36.26373626,29.67032967,32.96703297,20,21
285,36.26373626,29.67032967,32.96703297,20,21
286,35.16483516,29.67032967,32.96703297,20,21
287,36.26373626,29.67032967,34.06593407,21,22
288,36.26373626,29.67032967,34.06593407,22,23
289,36.26373626,29.67032967,35.16483516,23,24
290,37.36263736,29.67032967,35.16483516,23,24
291,38.46153846,29.67032967,35.16483516,24,25
292,39.56043956,29.67032967,36.26373626,25,26
293,40,30,36.26373626,25.25252525,26.26262626
294,40.4494382,30.33707865,36.26373626,25.51020408,26.53061224
295,40.90909091,30.68181818,36.26373626,25.77319588,26.80412371
296,40.90909091,31.81818182,36.26373626,25.77319588,26.80412371
297,40.90909091,32.95454545,37.36263736,25.77319588,26.80412371
298,42.04545455,34.09090909,38.46153846,26.80412371,27.83505155
299,43.18181818,35.22727273,39.56043956,26.80412371,27.83505155
300,43.18181818,35.22727273,39.56043956,27.83505155,28.86597938
301,42.04545455,35.22727273,40.65934066,27.83505155,28.86597938
302,40.90909091,35.22727273,40.65934066,27.83505155,28.86597938
303,42.04545455,36.36363636,40.65934066,27.83505155,28.86597938
304,43.18181818,37.5,40.65934066,26.80412371,27.83505155
305,44.31818182,38.63636364,40.65934066,25.77319588,26.80412371
306,45.45454545,38.63636364,40.65934066,25.77319588,26.80412371
307,44.31818182,38.63636364,39.56043956,24.74226804,25.77319588
308,44.31818182,38.63636364,39.56043956,24.74226804,25.77319588
309,45.45454545,38.63636364,39.56043956,25.77319588,26.80412371
310,45.45454545,38.63636364,39.56043956,26.80412371,27.83505155
311,44.31818182,37.5,38.46153846,26.80412371,26.80412371
312,44.31818182,38.63636364,37.36263736,25.77319588,25.77319588
313,44.31818182,39.77272727,37.36263736,25.77319588,25.77319588
314,43.18181818,40.90909091,37.36263736,24.74226804,24.74226804
315,43.18181818,40.90909091,38.46153846,24.74226804,24.74226804
316,42.04545455,39.77272727,37.36263736,24.74226804,24.74226804
317,42.04545455,38.63636364,36.26373626,24.74226804,24.74226804
318,43.18181818,38.63636364,37.36263736,25.77319588,25.77319588
319,43.18181818,39.77272727,38.46153846,25.77319588,25.77319588
320,42.04545455,38.63636364,37.36263736,25.77319588,25.77319588
321,43.18181818,38.63636364,37.36263736,25.77319588,25.77319588
322,43.18181818,38.63636364,36.26373626,25.77319588,25.77319588
323,43.18181818,37.5,36.26373626,25.77319588,25.77319588
324,44.31818182,37.5,35.16483516,25.77319588,25.77319588
325,45.45454545,37.5,35.16483516,26.80412371,26.80412371
326,44.31818182,36.36363636,35.16483516,26.80412371,26.80412371
327,45.45454545,36.36363636,35.16483516,26.80412371,26.80412371
328,45.45454545,36.36363636,35.16483516,26.80412371,26.80412371
329,44.31818182,37.5,35.16483516,27.83505155,27.83505155
330,45.45454545,37.5,35.16483516,28.86597938,28.86597938
331,46.59090909,38.63636364,36.26373626,28.86597938,28.86597938
332,46.59090909,38.63636364,36.26373626,29.89690722,29.89690722
333,47.72727273,37.5,36.26373626,30.92783505,29.89690722
334,47.72727273,36.36363636,36.26373626,30.92783505,29.89690722
335,46.59090909,37.5,37.36263736,29.89690722,28.86597938
336,46.59090909,37.5,37.36263736,29.89690722,28.86597938
337,46.59090909,38.63636364,38.46153846,29.89690722,28.86597938
338,46.59090909,38.63636364,38.46153846,29.89690722,28.86597938
339,46.59090909,37.5,39.56043956,29.89690722,28.86597938
340,45.45454545,38.63636364,39.56043956,28.86597938,27.83505155
341,44.31818182,37.5,39.56043956,27.83505155,26.80412371
342,45.45454545,37.5,38.46153846,28.86597938,27.83505155
343,45.45454545,37.5,37.36263736,29.89690722,28.86597938
344,44.31818182,36.36363636,38.46153846,29.89690722,28.86597938
345,44.31818182,35.22727273,37.36263736,29.89690722,28.86597938
346,43.18181818,34.09090909,36.26373626,28.86597938,27.83505155
347,43.18181818,32.95454545,36.26373626,29.89690722,28.86597938
348,44.31818182,34.09090909,37.36263736,29.89690722,28.86597938
349,45.45454545,34.09090909,37.36263736,29.89690722,28.86597938
350,44.31818182,34.09090909,36.26373626,28.86597938,27.83505155
351,44.31818182,35.22727273,35.16483516,28.86597938,27.83505155
352,43.18181818,35.22727273,34.06593407,28.86597938,27.83505155
353,43.18181818,35.22727273,32.96703297,29.89690722,28.86597938
354,44.31818182,35.22727273,32.96703297,29.89690722,28.86597938
355,44.31818182,35.22727273,31.86813187,30.92783505,29.89690722
356,44.31818182,34.09090909,32.96703297,29.89690722,28.86597938
357,44.31818182,35.22727273,32.96703297,29.89690722,28.86597938
358,45.45454545,35.22727273,32.96703297,30.92783505,29.89690722
359,45.45454545,35.22727273,34.06593407,31.95876289,30.92783505
360,46.59090909,35.22727273,34.06593407,32.98969072,31.95876289
361,46.06741573,34.83146067,33.69565217,32.98969072,31.95876289
362,45.55555556,34.44444444,33.33333333,32.98969072,31.95876289
363,46.15384615,34.06593407,34.04255319,32.98969072,31.95876289
364,45.65217391,33.69565217,33.68421053,34.02061856,32.98969072
365,45.16129032,33.33333333,33.33333333,34.02061856,32.98969072
366,45.74468085,34.04255319,34.02061856,34.02061856,32.98969072
367,46.31578947,34.73684211,34.69387755,34.02061856,32.98969072
368,45.83333333,35.41666667,34.34343434,34.02061856,32.98969072
369,45.36082474,35.05154639,34,35.05154639,34.02061856
370,45.36082474,36.08247423,35,34.02061856,32.98969072
371,45.36082474,36.08247423,35,34.02061856,32.98969072
372,45.36082474,36.08247423,35,34.02061856,32.98969072
373,46.39175258,35.05154639,35,34.02061856,32.98969072
374,46.39175258,35.05154639,35,34.02061856,32.98969072
375,46.39175258,34.02061856,34,34.02061856,32.98969072
376,45.36082474,32.98969072,34,32.98969072,31.95876289
377,45.36082474,31.95876289,33,32.98969072,31.95876289
378,45.36082474,32.98969072,33,32.98969072,31.95876289
379,45.36082474,34.02061856,34,34.02061856,32.98969072
380,45.36082474,35.05154639,34,35.05154639,34.02061856
381,45.36082474,35.05154639,34,35.05154639,34.02061856
382,45.36082474,35.05154639,34,35.05154639,34.02061856
383,45.36082474,36.08247423,34,36.08247423,35.05154639
384,45.36082474,36.08247423,35,37.11340206,36.08247423
385,45.36082474,37.11340206,35,37.11340206,36.08247423
386,46.39175258,37.11340206,35,37.11340206,36.08247423
387,45.36082474,37.11340206,35,36.08247423,35.05154639
388,45.36082474,37.11340206,36,36.08247423,35.05154639
389,45.36082474,37.11340206,36,35.05154639,35.05154639
390,44.32989691,38.1443299,36,35.05154639,35.05154639
391,43.29896907,39.17525773,37,34.02061856,34.02061856
392,42.26804124,40.20618557,37,32.98969072,32.98969072
393,42.85714286,39.79591837,38,33.67346939,33.67346939
394,42.42424242,39.39393939,39,34.34343434,34.34343434
395,42,39,40,34,34
396,41,39,40,34,34
397,42,38,39,34,34
398,41,38,39,33,33
399,40,37,39,33,33
400,41,38,40,33,33
401,41,38,40,33,33
402,41,38,40,33,33
403,40,37,40,33,33
404,39,36,41,33,33
405,38,35,41,33,33
406,37,34,41,33,33
407,37,34,41,33,33
408,37,34,41,33,33
409,36,33,40,33,33
410,35,32,39,33,33
411,36,33,40,32,33
412,36,33,40,32,33
413,35,32,39,32,33
414,35,31,39,32,33
415,35,31,38,31,32
416,35,31,38,31,32
417,36,31,38,31,32
418,35,32,38,30,31
419,35,31,37,30,31
420,36,32,38,31,32
421,36,33,38,32,33
422,35,32,38,32,33
423,36,33,38,32,33
424,35,34,39,32,33
425,34,33,38,31,32
426,34,33,39,31,32
427,34,33,40,31,32
428,33,34,40,31,32
429,34,34,41,30,32
430,33,35,42,29,31
431,33,35,41,30,31
432,34,35,41,30,31
433,33,36,41,29,30
434,32,37,42,28,29
435,33,36,42,28,29
436,33,37,43,29,30
437,33,37,42,29,30
438,34,37,42,30,31
439,35,38,42,31,32
440,35,37,42,31,32
441,36,38,43,32,33
442,36,39,44,32,33
443,36,39,45,31,32
444,37,39,45,31,32
445,37,40,46,31,32
446,37,41,47,31,32
447,38,42,48,31,32
448,37,41,47,30,31
449,36,41,47,30,31
450,36,42,48,31,32
451,37,42,49,32,33
452,37,42,49,32,33
453,38,42,50,31,32
454,37,42,51,31,32
455,37,42,51,30,31
456,38,42,50,30,31
457,38,42,50,31,32
458,38,41,49,30,31
459,38,41,48,30,31
460,37,41,48,29,30
461,37,42,48,29,30
462,38,42,48,29,30
463,37,43,47,30,31
464,37,43,47,30,31
465,37,43,47,30,31
466,37,42,46,30,31
467,36,41,46,30,31
468,36,40,46,31,32
469,37,40,46,31,32
470,37,39,45,31,32
471,37,39,46,31,32
472,37,39,47,31,32
473,36,39,47,32,32
474,37,40,48,32,32
475,38,40,49,32,32
476,38,40,49,33,33
477,37,40,49,33,33
478,36,40,49,32,32
479,35,39,49,31,31
480,34,38,49,30,30
481,34,38,50,31,31
482,35,38,50,31,31
483,35,37,50,30,30
484,35,37,49,29,29
485,35,36,50,29,29
486,35,37,51,30,30
487,35,38,50,30,30
488,35,38,50,29,30
489,35,38,50,29,29
490,35,37,50,29,29
491,35,36,49,29,29
492,35,35,48,29,29
493,34,36,47,28,28
494,34,37,46,27,27
495,34,37,45,27,27
496,34,36,45,27,27
497,33,36,45,27,27
498,33,35,44,27,27
499,33,35,43,27,27
500,32,34,42,26,26
501,32,34,41,26,26
502,32,34,41,26,26
503,32,34,41,26,26
504,32,34,40,26,26
505,32,35,41,26,26
506,32,36,41,26,26
507,32,37,41,26,26
508,33,37,41,27,27
509,33,38,42,26,26
510,34,38,43,25,25
511,34,37,42,26,26
512,33,36,42,26,26
513,33,36,42,26,26
514,33,36,42,26,26
515,33,37,42,26,26
516,33,37,42,26,26
517,32,38,43,26,26
518,32,37,42,26,26
519,32,37,42,26,26
520,31,37,42,25,25
521,31,36,41,24,24
522,31,36,42,23,23
523,30,36,43,23,23
524,30,35,42,23,23
525,31,36,43,24,24
526,32,37,43,25,25
527,31,37,42,25,25
528,32,36,42,25,25
529,31,36,42,25,24
530,31,35,41,25,24
531,30,34,42,24,24
532,29,35,43,23,23
533,29,34,43,24,24
534,30,34,42,25,25
535,29,35,42,25,25
536,28,34,42,24,24
537,29,34,43,25,25
538,29,34,43,24,24
539,28,33,42,24,24
540,29,33,43,25,25
541,28,33,43,24,24
542,27,33,42,23,23
543,26,33,41,23,23
544,25,34,41,23,23
545,25,33,41,23,23
546,25,32,40,23,23
547,24,32,40,22,22
548,24,32,41,22,22
549,24,33,42,22,22
550,24,33,42,21,21
551,24,32,42,20,20
552,24,33,43,20,20
553,24,33,42,21,21
554,25,34,42,22,21
555,25,33,42,22,21
556,24,33,42,22,21
557,23,32,41,21,20
558,22,32,41,22,21
559,22,32,41,21,20
560,22,32,42,21,20
561,22,31,42,21,20
562,22,32,43,22,21
563,22,32,44,21,20
564,23,32,45,21,20
565,23,32,45,21,20
566,22,32,45,21,20
567,22,32,44,21,20
568,22,32,44,20,19
569,21,32,44,19,18
570,21,32,44,19,18
571,21,32,43,19,18
572,21,32,42,19,18
573,21,32,42,18,18
574,20,31,41,18,18
575,19,31,40,18,18
576,19,31,40,17,17
577,19,31,40,17,17
578,19,30,39,17,17
579,19,30,38,17,17
580,19,30,37,17,17
581,19,30,36,16,16
582,18,30,36,16,16
583,18,30,36,16,16
584,18.18181818,30,36,16,16
585,18.36734694,30.3030303,35,16,16
586,17.5257732,29.59183673,34,15,15
587,17.70833333,28.86597938,34,15,15
588,17.89473684,29.16666667,33,15,14
589,18.08510638,29.47368421,32.32323232,15,14
590,18.27956989,29.78723404,32.65306122,15,14
591,18.47826087,30.10752688,32.98969072,15,14
592,18.68131868,30.43478261,33.33333333,15,14
593,18.68131868,30.43478261,33.33333333,15,14
594,18.68131868,29.34782609,33.33333333,16,15
595,19.78021978,29.34782609,33.33333333,17,16
596,20.87912088,29.34782609,33.33333333,18,17
597,21.97802198,29.34782609,33.33333333,18,17
598,21.97802198,29.34782609,33.33333333,18,17
599,23.07692308,29.34782609,33.33333333,18,17
600,23.07692308,30.43478261,33.33333333,18,17
601,23.07692308,31.52173913,33.33333333,18,17
602,23.07692308,31.52173913,33.33333333,18,17
603,24.17582418,31.52173913,33.33333333,19,18
604,25.27472527,31.52173913,33.33333333,20,19
605,26.37362637,31.52173913,32.29166667,21,20
606,27.47252747,30.43478261,32.29166667,22,21
607,28.57142857,30.43478261,32.29166667,22,21
608,28.57142857,31.52173913,32.29166667,21,20
609,29.67032967,31.52173913,31.25,22,21
610,28.57142857,32.60869565,30.20833333,22,21
611,27.47252747,33.69565217,30.20833333,21,20
612,27.77777778,34.06593407,30.52631579,21,20
613,28.08988764,34.44444444,30.85106383,21,20
614,28.40909091,34.44444444,30.85106383,21,20
615,28.73563218,33.33333333,30.85106383,21,20
616,29.06976744,33.33333333,30.85106383,20,19
617,29.41176471,32.22222222,29.78723404,20,19
618,29.76190476,32.22222222,29.78723404,20,19
619,30.12048193,32.22222222,29.78723404,20,19
620,30.48780488,31.11111111,28.72340426,20,19
621,29.62962963,31.11111111,28.72340426,20,19
622,30,31.11111111,27.65957447,20,19
623,30.37974684,30,26.59574468,20,19
624,30.76923077,30,26.59574468,20,19
625,29.87012987,29.21348315,25.80645161,19,18
626,28.94736842,28.40909091,25,18,17
627,28.94736842,28.40909091,26.08695652,18,17
628,28.94736842,28.40909091,26.08695652,18,17
629,30.26315789,28.40909091,25,18,18
630,31.57894737,29.54545455,26.08695652,19,19
631,32.89473684,30.68181818,25,19,19
632,32.89473684,29.54545455,23.91304348,19,19
633,32.89473684,29.54545455,22.82608696,18,18
634,32.89473684,29.54545455,22.82608696,17,17
635,34.21052632,29.54545455,21.73913043,17,17
636,34.21052632,29.54545455,20.65217391,17,17
637,32.89473684,29.54545455,20.65217391,16,16
638,31.57894737,28.40909091,20.65217391,16,16
639,31.57894737,29.54545455,20.65217391,15,15
640,30.26315789,30.68181818,19.56521739,14,14
641,30.26315789,30.68181818,18.47826087,14,14
642,31.57894737,30.68181818,19.56521739,14,14
643,32.89473684,30.68181818,19.56521739,14,14
644,34.21052632,29.54545455,19.56521739,15,15
645,35.52631579,30.68181818,19.56521739,15,15
646,35.52631579,31.81818182,20.65217391,15,15
647,35.52631579,30.68181818,19.56521739,15,15
648,36.84210526,31.81818182,19.56521739,15,15
649,38.15789474,30.68181818,18.47826087,15,15
650,38.15789474,29.54545455,17.39130435,15,15
651,38.15789474,29.54545455,16.30434783,16,16
652,38.15789474,29.54545455,15.2173913,16,16
653,36.84210526,29.54545455,16.30434783,15,15
654,35.52631579,29.54545455,16.30434783,14,15
655,36.84210526,29.54545455,16.30434783,14,15
656,36.84210526,30.68181818,17.39130435,14,15
657,36.84210526,31.81818182,18.47826087,15,16
658,36.84210526,31.81818182,18.47826087,14,15
659,35.52631579,31.81818182,18.47826087,14,15
660,35.52631579,31.81818182,17.39130435,14,15
661,35.52631579,31.81818182,17.39130435,14,15
662,34.21052632,30.68181818,16.30434783,14,15
663,34.21052632,29.54545455,16.30434783,14,15
664,32.89473684,30.68181818,16.30434783,13,14
665,32.89473684,30.68181818,16.30434783,13,14
666,32.89473684,30.68181818,16.30434783,13,14
667,32.89473684,31.81818182,17.39130435,13,14
668,34.21052632,31.81818182,17.39130435,13,15
669,34.66666667,31.81818182,17.39130435,13.13131313,15.15151515
670,35.13513514,31.81818182,17.39130435,13.26530612,15.30612245
671,35.61643836,31.81818182,17.39130435,13.40206186,15.46391753
672,36.11111111,31.81818182,17.39130435,13.54166667,15.625
673,36.61971831,31.81818182,17.39130435,13.68421053,15.78947368
674,37.14285714,32.18390805,17.39130435,13.82978723,15.95744681
675,37.68115942,32.55813953,17.39130435,13.97849462,16.12903226
676,38.23529412,32.94117647,17.39130435,14.13043478,16.30434783
677,38.23529412,32.94117647,17.39130435,14.13043478,16.30434783
678,38.23529412,32.94117647,18.47826087,14.13043478,16.30434783
679,38.23529412,32.94117647,19.56521739,14.13043478,16.30434783
680,38.23529412,32.94117647,19.56521739,14.13043478,16.30434783
681,38.23529412,32.94117647,19.56521739,14.13043478,16.30434783
682,38.23529412,32.94117647,19.56521739,14.13043478,16.30434783
683,38.23529412,32.94117647,20.65217391,14.13043478,16.30434783
684,37.68115942,32.94117647,20.65217391,14.13043478,16.30434783
685,37.14285714,32.55813953,20.65217391,14.13043478,16.30434783
686,38.02816901,33.33333333,21.73913043,15.2173913,17.39130435
687,38.88888889,34.09090909,21.73913043,15.2173913,17.39130435
688,38.35616438,34.83146067,22.82608696,15.2173913,17.39130435
689,37.83783784,35.55555556,22.58064516,15.2173913,17.39130435
690,38.66666667,36.26373626,22.34042553,16.30434783,18.47826087
691,38.15789474,35.86956522,23.15789474,16.30434783,18.47826087
692,38.96103896,36.55913978,22.91666667,17.39130435,19.56521739
693,40.25974026,35.48387097,22.91666667,17.39130435,19.56521739
694,40.25974026,35.48387097,22.91666667,16.30434783,18.47826087
695,38.96103896,35.48387097,23.95833333,15.2173913,17.39130435
696,38.15789474,35.86956522,23.95833333,14.13043478,16.30434783
697,37.33333333,36.26373626,23.95833333,14.13043478,16.30434783
698,37.83783784,36.66666667,23.95833333,14.28571429,16.48351648
699,36.98630137,37.07865169,23.95833333,14.44444444,16.66666667
700,37.5,36.36363636,23.95833333,14.60674157,16.85393258
701,38.02816901,35.63218391,23.95833333,14.60674157,16.85393258
702,38.57142857,36.04651163,23.95833333,14.60674157,16.85393258
703,37.14285714,36.04651163,23.95833333,13.48314607,15.73033708
704,35.71428571,36.04651163,23.95833333,12.35955056,14.60674157
705,35.71428571,34.88372093,25,11.23595506,13.48314607
706,35.71428571,34.88372093,26.04166667,11.23595506,13.48314607
707,35.71428571,33.72093023,27.08333333,12.35955056,14.60674157
708,35.71428571,32.55813953,28.125,13.48314607,15.73033708
709,34.28571429,31.39534884,28.125,12.35955056,14.60674157
710,34.28571429,30.23255814,28.125,12.35955056,14.60674157
711,35.71428571,29.06976744,28.125,12.35955056,14.60674157
712,35.21126761,28.73563218,28.86597938,12.35955056,14.60674157
713,34.72222222,28.40909091,29.59183673,12.35955056,14.60674157
714,35.61643836,28.40909091,29.59183673,12.35955056,14.60674157
715,36.48648649,28.40909091,29.59183673,12.35955056,14.60674157
716,36,28.40909091,30.6122449,12.35955056,14.60674157
717,35.52631579,28.40909091,31.63265306,12.35955056,14.60674157
718,35.06493506,28.40909091,31.63265306,12.35955056,14.60674157
719,34.61538462,28.40909091,31.63265306,12.35955056,14.60674157
720,34.17721519,28.40909091,31.63265306,12.35955056,14.60674157
721,33.75,28.40909091,31.63265306,12.35955056,14.60674157
722,33.33333333,28.40909091,31.63265306,12.35955056,14.60674157
723,32.92682927,28.40909091,31.63265306,12.35955056,14.60674157
724,32.53012048,28.40909091,31.63265306,12.35955056,14.60674157
725,32.14285714,28.08988764,31.31313131,12.35955056,14.60674157
726,31.76470588,27.77777778,31,12.35955056,14.60674157
727,31.76470588,27.77777778,30,12.35955056,14.60674157
728,30.58823529,27.77777778,30,12.35955056,14.60674157
729,29.41176471,26.66666667,30,12.35955056,13.48314607
730,28.23529412,25.55555556,29,11.23595506,12.35955056
731,27.05882353,24.44444444,29,11.23595506,12.35955056
732,27.05882353,24.44444444,29,11.23595506,12.35955056
733,27.05882353,24.44444444,29,11.23595506,12.35955056
734,25.88235294,23.33333333,29,11.23595506,12.35955056
735,24.70588235,22.22222222,29,11.23595506,12.35955056
736,24.70588235,22.22222222,29,11.23595506,12.35955056
737,24.70588235,21.11111111,28,11.23595506,12.35955056
738,24.70588235,21.11111111,27,11.23595506,12.35955056
739,24.70588235,20,27,11.23595506,12.35955056
740,24.70588235,18.88888889,27,11.23595506,12.35955056
741,24.70588235,17.77777778,27,11.23595506,12.35955056
742,23.52941176,16.66666667,26,11.23595506,12.35955056
743,22.35294118,16.66666667,26,11.23595506,12.35955056
744,21.17647059,17.77777778,25,11.23595506,12.35955056
745,20,17.77777778,24,12.35955056,13.48314607
746,20,16.66666667,24,13.48314607,14.60674157
